model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gst_coreg2_small,AD,0.5,3,1,25,-28083.174480199814,3.249115102793585,19.52
gst_coreg2_small,AD,0.5,4,1,22,-28083.200714200735,3.2560073182378195,19.13
gst_coreg2_small,AD,1.0,0,1,33,-28083.22145524621,3.2526907382884813,20.99
gst_coreg2_small,AD,1.0,1,1,30,-28083.222242087126,3.2523352888202934,20.29
gst_coreg2_small,AD,1.0,2,1,27,-28083.22233900428,3.252396630842227,20.13
gst_coreg2_small,AD,1.0,3,1,22,-28083.2148617208,3.2507763116655415,19.34
gst_coreg2_small,AD,1.0,4,1,37,-28083.22238302231,3.2524333195047355,20.39
gst_coreg2_small,AD,2.0,0,1,42,-28083.222350001335,3.2523977706943326,21.04
gst_coreg2_small,AD,2.0,1,1,38,-28083.22240021825,3.252448853645154,20.0
gst_coreg2_small,AD,2.0,2,1,30,-28083.22207298875,3.2526428128495573,19.72
gst_coreg2_small,AD,2.0,3,1,38,-28083.210503786802,3.2551457908139025,20.95
gst_coreg2_small,AD,2.0,4,1,35,-28083.22240680456,3.252431412488235,20.6
gst_coreg2_small,AD,3.0,0,1,48,-28083.222406983376,3.252435437557344,22.69
gst_coreg2_small,AD,3.0,1,1,34,-28083.222379624844,3.2524325402606418,21.15
gst_coreg2_small,AD,3.0,2,1,5,-25415.77021355927,3.7959015757002597,21.13
gst_coreg2_small,AD,3.0,3,1,42,-28083.219715833664,3.252700946058908,21.68
gst_coreg2_small,AD,3.0,4,1,45,-28083.22228562832,3.252347542441846,22.01
gst_coreg2_small,AD,5.0,0,1,54,-28083.222406238317,3.252431822465249,23.18
gst_coreg2_small,AD,5.0,1,1,49,-28083.222342550755,3.252563609701039,22.39
gst_coreg2_small,AD,5.0,2,1,55,-28083.222397893667,3.252431533286626,23.38
gst_coreg2_small,AD,5.0,3,1,13,-12574.95632955432,5.014620733483878,21.98
gst_coreg2_small,AD,5.0,4,1,51,-28083.22239753604,3.252475034154591,22.65
gst_coreg2_small,AD,7.0,0,1,66,-28083.22230374813,3.2523923685035814,25.14
gst_coreg2_small,AD,7.0,1,1,28,-24581.079624906182,5.035066056494271,23.0
gst_coreg2_small,AD,7.0,2,1,29,-24289.84044343233,4.602975214257703,23.63
gst_coreg2_small,AD,7.0,3,1,99,-28083.22236031294,3.252581577220985,28.33
gst_coreg2_small,AD,7.0,4,1,54,-28083.222397863865,3.252399282376079,22.82
gst_coreg2_small,AD,10.0,0,1,79,-28083.222401320934,3.2524376658889786,26.37
gst_coreg2_small,AD,10.0,1,1,48,-24069.421869874,6.779831443023418,24.62
